ForestType,Bamboo,EvergreenBroadLeaf,EvergreenNeedleLeaf
Woody,1,1,1
Evergreen,1,1,1
C3Flag,1,1,1
Bamboo,1,0,0
BroadLeaf,0,1,0
NeedleLeaf,0,0,1
PhenologyFlag,0,0,0
Onday,0,0,0
Offday,0,0,0
TransferPdays,0.2,0.2,0.2
LitfallPdays,0.22,0.22,0.22
LeafTurnover,0.42,0.5,0.7
FrootTurnover,0.68,0.7,0.7
LivewoodTurnover,0.7,0.7,0.7
DailyMortalityTurnover,0.005,0.005,0.005
DailyFireTurnover,0,0,0
AllocFrootcLeafc,1,1.3,1.8
AllocCrootcStemc,1,0.42,0.2
AllocNewstemcNewleafc,2.098,2.2,1.8
AllocNewlivewoodcNewwoodc,0.3,0.3,0.3
AllocPropCurgrowth,0.5,0.5,0.5
LeafCn,41.73,41.73,41.73
LeaflitrCn,93,93,93
FrootCn,42,42,42
LivewoodCn,50,50,50
DeadwoodCn,729,729,729
LeaflitrFlab,0.68,0.68,0.68
LeaflitrFlig,0.09,0.09,0.09
LeaflitrFucel,0.23,0.23,0.23
FrootlitrFlab,0.34,0.34,0.34
FrootlitrFlig,0.22,0.22,0.22
FrootlitrFucel,0.44,0.44,0.44
DeadwoodFlig,0.24,0.24,0.24
DeadwoodFucel,0.76,0.76,0.76
IntCoef,0.041,0.041,0.041
ExtCoef,0.85,0.64,0.64
AvgProjSla,15,15,15
LaiRatio,2.6,2.6,2.6
SlaRatio,2,2,2
Flnr,0.06,0.033,0.028
GlSmax,0.001,0.001,0.001
GlC,0,0,0
GlBl,0.08,0.08,0.08
PsiOpen,-0.6,-0.6,-0.6
PsiClose,-2.3,-2.3,-2.3
VpdOpen,930,930,930
VpdClose,4100,4100,4100
Q10MR,1.6,2,2
MrpernLeaf,0.109,0.218,0.218
MrpernFroot,0.109,0.218,0.218
MrpernCroot,0.109,0.218,0.218
MrpernStem,0.109,0.218,0.218
MrpernRhizomen,0.218,0.218,0.218
MaxRetainedAge,6,-,-
OddOffyear,1,-,-
Bamboo Rhizome,0,-,-
LiveRhizomeTurnover,0,-,-
AllocNewrhizomecNewleafc,0,-,-
AllocNewLiverhizomeRhizomec,0,-,-
AllocCrootcRhizomec,0,-,-
LiverhizomeCn,0,-,-
DeadrhizomeCn,0,-,-
Bamboo Management,1,-,-
Dig Spring Shoots,0,-,-
Digspringbs,0.5,-,-
NSpringDiggingDays,42,-,-
Dig Winter Shoots,0,-,-
Digwinterbs,0.1,-,-
NWinterDiggingDays,27,-,-
IsFertilization,1,-,-
Fertilization,0.023,-,-
NFertilizeDays,129,-,-
IsSelectiveCutting,1,-,-
SelectiveCutting,0:0:0:0:0:2,-,-
NSeclectiveCuttingDays,65,-,-
DayStartSelectiveCutting,295,-,-
CutInterval,2,-,-
Obtrunction,0,-,-
Pobtrunction,0.07,-,-
IsPlough,0,-,-
Bamboo Phenology,1,-,-
NTransferDays,115,-,-
NChangingDays,50,-,-
DayStartShoots,36,-,-
DayStartLitterfall,89,-,-
Fnr,7.16,7.16,7.16
Kc25,404.0,404.0,404.0
Q10Kc,2.1,2.1,2.1
Ko25,248.0,248.0,248.0
Q10Ko,1.2,1.2,1.2
Act25,3.6,3.6,3.6
Q10Act,2.4,2.4,2.4
Pabs,0.85,0.85,0.85
